,age,marital,education,balance,housing,loan,day,month,duration,campaign,pdays,previous,class
2628,31,divorced,secondary,-452.0,yes,no,26,may,182,5,-1,0,no
3499,28,single,tertiary,0.0,yes,no,21,jul,479,1,-1,0,no
1582,46,married,primary,2558.0,yes,no,20,nov,107,1,167,1,no
3915,27,single,tertiary,0.0,no,yes,8,jul,46,1,-1,0,no
2099,52,married,tertiary,6922.0,no,no,20,nov,371,1,-1,0,no
1070,36,married,secondary,1049.0,yes,no,14,may,224,4,-1,0,yes
1775,38,married,tertiary,7124.0,no,no,16,jun,301,6,-1,0,no
4351,39,single,secondary,36.0,no,no,29,aug,70,2,-1,0,no
1283,27,married,secondary,639.0,no,yes,14,jul,243,3,-1,0,no
3921,37,married,tertiary,7944.0,no,no,21,nov,102,1,-1,0,no
3053,46,married,primary,1429.0,yes,no,14,may,91,1,-1,0,no
4302,33,single,primary,1.0,yes,no,20,apr,257,1,-1,0,no
4329,41,married,primary,293.0,yes,yes,7,may,102,1,-1,0,no
3438,49,married,unknown,3096.0,no,no,16,jun,147,2,-1,0,no
4305,49,married,tertiary,306.0,yes,no,18,aug,285,7,-1,0,no
3823,35,married,secondary,0.0,no,no,7,may,326,1,-1,0,no
2633,50,single,tertiary,1200.0,no,no,14,aug,904,3,-1,0,yes
1326,51,married,unknown,5801.0,yes,no,29,may,147,2,-1,0,no
1873,53,married,primary,4143.0,no,no,15,jul,200,3,-1,0,no
3872,29,single,secondary,209.0,yes,no,28,jul,487,7,-1,0,no
4420,45,married,secondary,999.0,yes,no,20,nov,215,6,188,2,no
2833,38,single,unknown,62.0,no,no,19,jun,212,1,-1,0,no
1651,45,married,primary,1291.0,yes,no,28,aug,189,17,-1,0,no
3274,56,married,tertiary,21664.0,no,no,17,jun,214,8,-1,0,no
3646,48,single,secondary,312.0,yes,yes,3,feb,369,2,-1,0,no
3717,59,married,tertiary,1585.0,no,no,28,aug,91,5,-1,0,no
4433,40,married,tertiary,-17.0,yes,yes,11,may,474,1,256,1,yes
3564,30,single,tertiary,-970.0,no,yes,21,aug,194,2,-1,0,no
2138,27,single,secondary,282.0,no,yes,9,jul,676,5,-1,0,no
1373,56,married,primary,379.0,no,no,13,aug,58,5,-1,0,no
3931,47,married,secondary,3676.0,no,no,18,oct,567,1,95,3,yes
3626,34,married,secondary,114.0,yes,yes,4,jun,153,1,309,3,no
2974,44,divorced,tertiary,-710.0,yes,no,10,jul,183,1,-1,0,no
2014,74,divorced,secondary,4079.0,no,no,19,oct,343,3,-1,0,yes
1727,34,married,tertiary,197.0,no,no,20,aug,78,3,-1,0,yes
867,33,divorced,primary,636.0,yes,no,9,jul,211,11,-1,0,no
926,38,married,primary,3913.0,yes,no,20,apr,196,2,315,2,no
3990,49,married,secondary,0.0,no,no,28,aug,173,2,-1,0,no
997,34,single,tertiary,673.0,yes,yes,20,nov,271,1,184,1,no
1337,40,single,tertiary,1509.0,no,no,15,mar,144,2,124,1,no
3790,42,single,primary,92.0,no,no,30,jul,86,2,-1,0,no
1099,58,married,primary,5278.0,yes,no,4,jun,763,4,-1,0,no
1132,41,divorced,tertiary,4567.0,yes,yes,16,jul,106,1,-1,0,no
3331,53,married,unknown,2240.0,yes,no,2,jun,282,2,385,1,yes
2247,35,married,secondary,94.0,yes,yes,14,may,208,5,-1,0,no
210,36,single,secondary,9149.0,yes,no,13,aug,141,3,-1,0,no
3537,27,divorced,secondary,76.0,yes,no,4,jun,236,1,-1,0,no
1840,44,divorced,secondary,316.0,yes,no,21,jul,163,3,-1,0,no
4437,44,married,tertiary,4460.0,no,no,31,jul,168,2,-1,0,no
59,54,divorced,secondary,784.0,yes,yes,15,may,579,1,-1,0,no
1211,66,single,secondary,10177.0,no,no,5,may,272,4,-1,0,no
3240,43,single,secondary,34.0,no,no,30,jul,29,1,-1,0,no
2422,42,married,primary,7041.0,yes,no,28,jul,386,4,-1,0,no
3029,39,married,primary,2303.0,yes,no,17,jun,775,3,-1,0,yes
4461,47,divorced,secondary,164.0,no,no,5,may,212,1,-1,0,no
1941,57,married,primary,0.0,no,no,9,jun,257,2,-1,0,no
765,37,divorced,secondary,414.0,no,no,29,jan,293,2,162,4,no
3039,63,married,primary,8044.0,no,no,12,nov,702,1,-1,0,no
1972,42,married,secondary,-1310.0,yes,yes,28,may,162,1,-1,0,no
1078,32,single,tertiary,0.0,no,no,7,aug,268,2,-1,0,no
3786,74,married,secondary,921.0,no,no,17,apr,394,2,-1,0,yes
3883,57,married,secondary,169.0,no,no,14,aug,180,1,106,2,no
2259,41,married,tertiary,326.0,yes,no,5,may,788,1,-1,0,yes
1751,48,divorced,secondary,1598.0,yes,no,29,may,84,1,-1,0,no
1538,50,divorced,secondary,203.0,yes,no,19,nov,265,1,127,4,no
2572,25,married,secondary,242.0,yes,no,30,jul,62,12,-1,0,no
1244,37,single,tertiary,1467.0,yes,yes,17,nov,349,1,-1,0,no
3182,36,married,secondary,1554.0,yes,no,12,may,325,4,-1,0,no
582,31,married,secondary,236.0,yes,yes,4,may,211,3,-1,0,no
2471,22,single,secondary,2488.0,no,no,8,nov,449,2,38,10,yes
272,46,married,secondary,12186.0,no,no,20,jun,29,3,-1,0,no
3530,50,married,tertiary,112.0,yes,no,4,nov,70,5,85,5,no
940,34,divorced,unknown,172.0,no,no,15,jun,177,1,-1,0,yes
1080,43,married,secondary,667.0,yes,no,7,may,228,3,-1,0,no
187,37,single,secondary,21.0,yes,no,2,feb,96,1,271,2,no
2178,30,married,secondary,371.0,no,no,7,aug,124,2,-1,0,no
941,34,married,tertiary,0.0,yes,no,7,aug,262,1,99,2,yes
2897,40,married,secondary,326.0,yes,yes,7,jul,112,1,-1,0,no
3352,54,married,tertiary,384.0,yes,no,12,may,30,7,-1,0,no
3875,27,married,secondary,4848.0,yes,yes,23,jul,82,3,-1,0,no
4424,34,married,tertiary,1557.0,yes,yes,13,,213,1,-1,0,no
4055,29,single,tertiary,1673.0,no,no,16,aug,200,2,159,3,no
3317,25,single,tertiary,808.0,no,no,18,sep,267,2,114,2,yes
1765,32,single,secondary,2.0,no,no,9,may,144,2,-1,0,no
3513,51,married,unknown,174.0,no,no,29,jul,308,3,-1,0,no
3359,25,single,secondary,34.0,no,yes,4,jul,316,1,-1,0,no
226,33,married,secondary,-204.0,no,no,15,may,297,3,-1,0,no
2846,47,married,primary,881.0,yes,no,14,may,143,1,370,2,no
535,52,married,primary,1054.0,no,no,4,aug,273,1,-1,0,no
1929,46,single,tertiary,705.0,no,no,4,feb,398,1,-1,0,no
4004,34,single,secondary,179.0,no,no,19,aug,294,3,-1,0,no
4033,37,married,tertiary,3288.0,no,no,8,aug,124,2,-1,0,no
1404,50,married,tertiary,0.0,no,no,9,jul,243,5,-1,0,no
2562,46,divorced,secondary,7378.0,no,no,18,nov,466,1,-1,0,no
3496,58,single,tertiary,331.0,no,yes,28,jul,82,3,-1,0,no
697,34,married,secondary,0.0,yes,no,15,jul,144,1,-1,0,no
1124,37,married,unknown,189.0,no,no,1,oct,238,1,107,2,yes
2098,57,married,secondary,32.0,yes,no,15,may,476,3,-1,0,no
4279,31,married,unknown,-6.0,no,yes,7,jul,94,2,-1,0,no
3012,36,married,secondary,-11.0,yes,no,30,jul,172,28,-1,0,no
2404,52,married,primary,592.0,no,no,21,jul,122,2,-1,0,no
1758,30,married,primary,-336.0,no,no,10,jul,128,6,-1,0,no
1778,56,married,tertiary,15520.0,no,no,18,nov,420,1,-1,0,no
3758,31,married,secondary,472.0,yes,no,13,may,907,2,-1,0,no
586,32,single,secondary,518.0,yes,no,18,may,34,7,-1,0,no
2512,53,married,primary,104.0,no,yes,5,jun,701,1,-1,0,yes
1400,35,married,secondary,2.0,no,no,28,jan,653,3,-1,0,no
3621,35,married,tertiary,949.0,yes,no,27,may,245,2,-1,0,no
2588,46,divorced,tertiary,134.0,no,no,19,aug,134,2,-1,0,no
3638,32,single,secondary,-28.0,no,yes,4,jul,400,1,-1,0,no
1037,43,married,tertiary,2767.0,yes,no,15,may,317,7,-1,0,no
208,38,single,secondary,-196.0,yes,no,2,feb,60,1,271,1,no
2503,55,married,tertiary,540.0,no,no,19,nov,124,2,-1,0,no
565,40,married,secondary,56.0,yes,yes,29,jan,194,1,247,1,no
313,43,married,tertiary,2.0,no,yes,20,aug,472,2,-1,0,no
601,52,married,tertiary,54.0,yes,yes,18,nov,103,1,-1,0,no
233,45,single,secondary,0.0,yes,no,26,jul,768,2,91,5,no
2045,56,married,tertiary,318.0,no,yes,9,jul,246,3,-1,0,no
931,41,married,secondary,2993.0,yes,no,22,jul,24,12,-1,0,no
4039,54,married,secondary,448.0,yes,yes,5,aug,98,1,-1,0,no
4054,28,single,secondary,1532.0,no,no,22,may,253,1,107,5,no
1036,53,married,secondary,2647.0,yes,no,30,may,121,1,-1,0,no
111,58,married,tertiary,1517.0,yes,no,29,jul,7,5,-1,0,no
2944,45,married,tertiary,242.0,no,no,30,apr,587,1,-1,0,yes
1089,52,married,primary,14.0,no,yes,28,jul,55,5,-1,0,no
3455,33,divorced,secondary,-305.0,no,yes,9,may,109,1,-1,0,no
1754,29,single,tertiary,1445.0,no,no,26,apr,328,2,143,2,yes
230,52,married,secondary,142.0,no,no,25,aug,112,6,-1,0,no
3176,28,single,secondary,4745.0,no,no,12,may,360,1,181,5,yes
1919,34,married,tertiary,2552.0,yes,yes,25,sep,74,1,-1,0,no
2230,48,single,secondary,-552.0,no,yes,21,nov,150,2,-1,0,no
1033,29,single,secondary,534.0,yes,no,18,may,382,1,-1,0,no
472,38,married,secondary,15.0,yes,no,10,jul,121,1,-1,0,no
1514,32,married,secondary,167.0,yes,yes,8,aug,79,3,-1,0,no
2876,37,single,secondary,48.0,no,no,6,may,140,2,-1,0,no
2691,57,married,secondary,1521.0,yes,yes,18,may,102,2,178,5,no
2753,34,married,tertiary,133.0,yes,no,8,may,65,1,-1,0,no
2819,26,single,secondary,96.0,yes,no,13,may,612,2,348,3,no
1506,36,single,secondary,475.0,no,no,25,jul,141,3,-1,0,no
1127,32,single,unknown,787.0,no,no,28,jan,92,1,-1,0,no
1923,66,married,secondary,4785.0,no,no,13,aug,72,3,-1,0,no
4234,58,divorced,primary,8218.0,yes,no,31,jul,124,10,-1,0,no
4456,37,married,primary,3953.0,yes,no,6,apr,610,2,138,1,no
2095,35,married,primary,319.0,yes,no,16,jul,221,1,-1,0,no
4493,28,single,tertiary,0.0,yes,no,4,jun,205,6,-1,0,no
2480,35,divorced,secondary,3636.0,no,yes,21,nov,808,2,-1,0,yes
3686,41,married,secondary,4539.0,no,no,30,may,298,3,-1,0,no
2559,43,married,secondary,17.0,yes,no,16,may,353,4,-1,0,no
4080,40,married,primary,2805.0,yes,no,14,may,173,6,353,23,no
361,42,married,primary,0.0,yes,yes,7,may,209,2,-1,0,no
135,33,single,tertiary,0.0,no,no,28,aug,236,10,-1,0,no
1134,34,married,primary,176.0,no,no,24,jul,78,1,-1,0,no
2552,23,married,secondary,-19.0,yes,no,20,jun,13,10,-1,0,no
1151,44,married,secondary,205.0,no,no,3,nov,289,1,-1,0,yes
3180,30,married,secondary,0.0,yes,no,9,may,20,1,-1,0,no
2522,59,divorced,secondary,3573.0,no,no,15,may,44,1,-1,0,no
4163,29,single,unknown,33.0,no,no,1,jul,161,1,-1,0,no
1830,36,single,secondary,774.0,yes,no,3,feb,231,2,259,1,no
1053,47,divorced,secondary,-535.0,yes,no,30,jul,71,2,-1,0,no
4127,56,single,tertiary,917.0,no,no,9,jun,306,1,-1,0,no
22,44,single,secondary,106.0,no,no,12,jun,109,2,-1,0,no
4140,54,divorced,primary,4382.0,yes,no,18,may,193,4,-1,0,no
1653,53,married,primary,306.0,no,no,28,jul,388,3,181,1,yes
4179,34,divorced,secondary,-566.0,yes,no,26,may,248,2,-1,0,no
3285,36,married,tertiary,1477.0,no,no,7,aug,71,2,-1,0,no
695,51,married,secondary,35.0,no,yes,8,jul,123,4,-1,0,no
4506,42,divorced,tertiary,-166.0,no,no,29,aug,85,4,-1,0,no
3307,28,single,secondary,0.0,yes,no,15,may,133,3,-1,0,no
420,42,divorced,secondary,1076.0,yes,no,14,may,213,1,-1,0,no
2535,30,single,tertiary,7513.0,no,no,11,aug,269,2,-1,0,no
3976,48,married,tertiary,-13.0,yes,no,15,may,20,6,291,2,no
460,55,married,tertiary,383.0,no,no,6,may,343,3,-1,0,no
1067,44,married,secondary,8262.0,yes,no,23,jul,201,16,-1,0,no
87,35,single,primary,293.0,yes,no,30,may,521,2,-1,0,no
3574,34,married,tertiary,0.0,no,no,26,may,141,1,188,1,no
2936,50,divorced,secondary,717.0,yes,no,30,jan,113,1,-1,0,no
3609,55,married,tertiary,0.0,yes,no,14,may,159,2,-1,0,no
2299,36,married,tertiary,16430.0,yes,no,6,jun,197,3,-1,0,no
282,37,single,secondary,3561.0,yes,no,2,jun,98,1,-1,0,no
4519,28,married,secondary,1137.0,no,no,6,feb,129,4,211,3,no
462,45,divorced,tertiary,0.0,no,no,1,jun,5,1,-1,0,no
212,38,married,tertiary,432.0,yes,no,15,may,10,2,373,1,no
540,47,single,secondary,3696.0,no,no,12,jul,250,2,181,4,yes
2073,33,single,secondary,697.0,no,no,6,feb,860,2,-1,0,yes
3739,41,married,tertiary,437.0,yes,no,3,jun,14,21,-1,0,no
2304,57,married,secondary,139.0,no,no,17,aug,80,1,-1,0,no
1820,46,married,secondary,4958.0,yes,no,17,nov,64,3,150,5,no
859,51,divorced,tertiary,4.0,yes,yes,20,apr,74,5,-1,0,no
533,46,divorced,secondary,3455.0,yes,no,14,may,566,2,-1,0,no
1368,37,single,tertiary,556.0,no,no,17,jun,200,2,-1,0,no
4071,28,married,secondary,12.0,yes,no,30,jan,73,3,256,3,no
2341,34,married,secondary,0.0,no,no,2,feb,270,1,-1,0,no
597,37,married,primary,189.0,no,no,8,aug,148,4,-1,0,no
3910,49,married,secondary,14440.0,yes,no,21,nov,60,1,-1,0,no
3977,37,married,tertiary,801.0,no,no,11,aug,331,7,-1,0,no
4399,29,married,secondary,452.0,yes,no,27,may,347,1,-1,0,no
662,38,single,tertiary,25.0,yes,no,1,jun,232,2,-1,0,yes
4487,49,divorced,secondary,32.0,no,no,5,feb,128,1,-1,0,no
4272,50,married,tertiary,199.0,yes,yes,3,feb,116,2,253,1,no
4410,36,married,secondary,-35.0,no,no,30,jan,339,3,-1,0,no
2820,34,married,tertiary,1116.0,yes,no,25,jul,53,5,-1,0,no
779,55,married,primary,159.0,no,no,4,sep,15,1,-1,0,no
4430,47,married,tertiary,295.0,yes,no,5,aug,157,1,-1,0,no
3820,28,single,tertiary,5549.0,no,no,28,jul,383,6,-1,0,no
3959,54,divorced,primary,22.0,no,no,20,jun,23,4,-1,0,no
685,46,married,secondary,1550.0,yes,no,16,apr,126,2,149,8,no
2605,48,married,primary,247.0,yes,yes,14,may,145,1,-1,0,no
2955,49,married,secondary,12531.0,no,no,13,aug,77,8,-1,0,no
4280,46,divorced,secondary,435.0,yes,no,15,may,192,3,-1,0,no
1850,54,divorced,tertiary,1295.0,yes,no,21,jul,179,10,-1,0,no
3845,31,married,secondary,1495.0,yes,yes,23,may,159,3,-1,0,no
1688,38,married,secondary,-278.0,yes,no,28,jul,143,2,-1,0,no
2684,34,married,secondary,67.0,yes,yes,8,may,672,3,-1,0,no
782,37,married,tertiary,865.0,yes,no,3,jun,101,1,-1,0,no
521,50,married,secondary,665.0,no,no,17,nov,238,1,-1,0,no
522,43,divorced,secondary,738.0,yes,no,21,nov,585,4,191,4,no
2337,24,married,tertiary,0.0,yes,no,27,may,299,1,-1,0,no
4415,52,married,primary,-133.0,no,no,5,jun,96,2,-1,0,no
2860,31,single,tertiary,2590.0,no,no,23,sep,103,2,484,2,no
2922,26,married,tertiary,2855.0,no,no,30,mar,52,3,-1,0,no
4110,55,married,tertiary,236.0,no,no,4,aug,200,1,-1,0,no
1511,34,single,secondary,0.0,no,no,17,nov,63,2,-1,0,no
1882,34,single,secondary,440.0,yes,no,6,may,445,2,345,2,no
651,27,single,tertiary,81.0,no,no,5,feb,197,1,199,3,no
2540,31,married,tertiary,4148.0,yes,no,21,nov,316,3,99,9,yes
369,30,married,secondary,946.0,yes,no,19,nov,1065,1,183,1,no
2182,43,married,secondary,104.0,yes,no,18,jul,635,3,-1,0,yes
118,39,married,primary,52.0,no,no,13,aug,69,1,-1,0,no
4409,57,married,secondary,107.0,no,no,14,jul,85,2,-1,0,no
2496,46,single,tertiary,593.0,yes,no,29,jan,190,3,-1,0,no
4109,40,married,primary,177.0,yes,yes,21,jul,742,4,-1,0,no
1613,58,married,primary,671.0,yes,no,17,jun,16,3,-1,0,no
2867,27,single,tertiary,1.0,no,no,3,feb,65,2,-1,0,no
962,52,married,secondary,2347.0,no,yes,12,aug,603,3,-1,0,no
4274,35,married,primary,378.0,yes,no,16,may,427,3,-1,0,no
2830,30,married,secondary,2678.0,yes,no,18,may,23,5,-1,0,no
2494,47,divorced,secondary,136.0,no,yes,23,jul,70,1,-1,0,no
4213,30,single,secondary,-522.0,yes,yes,5,may,670,2,286,6,yes
3557,57,married,tertiary,1180.0,yes,yes,14,may,191,2,-1,0,no
2325,38,single,secondary,883.0,yes,no,12,may,95,1,327,9,no
2037,30,married,tertiary,1942.0,yes,yes,21,nov,436,2,178,3,yes
772,26,single,tertiary,350.0,no,no,8,jul,367,1,-1,0,no
1284,41,married,primary,849.0,yes,no,15,may,72,1,-1,0,no
4290,40,married,tertiary,35.0,no,no,3,jul,318,4,317,3,no
1414,36,divorced,secondary,-140.0,yes,no,26,may,222,2,-1,0,no
1234,35,married,tertiary,8.0,yes,no,23,may,55,4,-1,0,no
3781,58,married,primary,2769.0,yes,no,11,jul,94,2,-1,0,no
435,55,divorced,tertiary,0.0,no,no,6,jun,108,2,-1,0,no
1674,32,single,tertiary,569.0,no,yes,29,jan,348,1,-1,0,no
365,23,single,secondary,780.0,no,no,16,sep,267,1,-1,0,no
3478,58,married,primary,320.0,yes,no,30,may,171,2,-1,0,no
231,40,married,tertiary,3571.0,no,no,9,jun,222,3,-1,0,no
3311,87,married,primary,230.0,no,no,30,oct,144,1,-1,0,yes
3573,43,divorced,primary,328.0,no,yes,8,jul,192,1,-1,0,no
407,39,married,secondary,130.0,no,no,8,jul,202,2,-1,0,no
2090,48,married,secondary,0.0,yes,no,26,may,105,1,-1,0,no
86,41,single,secondary,879.0,no,yes,7,jul,60,4,-1,0,no
844,40,single,secondary,65.0,yes,no,15,may,15,3,-1,0,no
3944,55,married,tertiary,171.0,yes,no,8,aug,73,6,-1,0,no
2656,37,married,secondary,712.0,yes,no,18,nov,291,2,-1,0,no
855,46,divorced,tertiary,624.0,no,no,17,sep,336,2,183,2,yes
78,50,divorced,primary,388.0,no,no,5,feb,701,1,-1,0,no
4138,36,married,secondary,2880.0,no,no,12,jun,283,1,-1,0,no
3927,37,married,tertiary,1698.0,yes,no,6,jun,95,2,-1,0,no
2399,60,married,secondary,89.0,no,no,30,apr,156,2,-1,0,no
2881,42,married,tertiary,12223.0,yes,no,19,nov,36,1,-1,0,no
2426,46,married,secondary,519.0,yes,no,25,aug,217,6,-1,0,no
3451,50,single,primary,766.0,no,no,17,jun,174,2,-1,0,no
3173,33,single,tertiary,137.0,no,no,25,aug,88,4,-1,0,no
4166,42,single,unknown,344.0,yes,no,3,jun,26,7,-1,0,no
424,36,single,secondary,342.0,yes,no,7,may,142,1,-1,0,no
392,64,married,unknown,2923.0,no,no,12,mar,120,1,-1,0,no
4355,34,single,tertiary,-292.0,yes,no,19,aug,181,6,-1,0,no
104,34,single,secondary,524.0,no,no,13,aug,9,1,-1,0,no
2578,42,married,secondary,0.0,no,no,29,aug,82,12,-1,0,no
1948,27,single,tertiary,3083.0,yes,no,29,may,244,2,-1,0,no
1459,31,single,secondary,433.0,no,no,11,aug,1504,2,-1,0,no
2678,74,married,secondary,935.0,no,no,26,jan,100,1,104,1,no
2313,51,divorced,tertiary,370.0,yes,no,19,aug,109,3,-1,0,no
2238,26,married,tertiary,479.0,yes,no,9,feb,133,3,-1,0,no
3821,31,married,secondary,191.0,yes,no,2,jun,40,1,-1,0,no
1587,31,single,secondary,1306.0,yes,no,28,may,217,5,-1,0,no
4250,32,single,tertiary,2.0,yes,no,11,sep,100,2,-1,0,yes
1731,58,married,secondary,235.0,no,no,27,aug,88,4,-1,0,no
3047,35,single,secondary,81.0,yes,no,29,jan,79,1,-1,0,no
3065,55,married,secondary,-31.0,no,yes,13,aug,81,2,-1,0,no
1791,31,married,secondary,0.0,yes,no,14,may,40,2,-1,0,no
1940,27,single,secondary,213.0,no,no,27,mar,378,1,-1,0,yes
702,32,divorced,tertiary,874.0,no,no,12,aug,1282,6,-1,0,yes
2320,29,single,tertiary,0.0,no,no,16,may,16,25,-1,0,no
496,50,married,secondary,7317.0,yes,no,13,may,172,1,370,1,no
464,32,married,secondary,889.0,yes,no,10,sep,185,1,99,5,yes
2221,34,married,tertiary,573.0,no,no,10,aug,122,1,-1,0,no
4155,39,single,secondary,914.0,no,no,5,jun,20,1,-1,0,no
4016,37,married,tertiary,547.0,yes,yes,21,may,143,1,-1,0,no
2529,48,single,tertiary,8106.0,no,no,17,nov,125,1,111,3,no
3439,34,married,secondary,5320.0,no,no,3,mar,114,6,467,5,no
2425,32,married,secondary,2400.0,yes,yes,5,feb,450,3,-1,0,no
2112,46,married,secondary,22.0,yes,no,7,aug,414,4,-1,0,no
900,33,single,secondary,5235.0,no,no,7,aug,67,3,-1,0,no
1446,32,single,tertiary,4665.0,yes,no,21,may,860,2,-1,0,yes
2940,61,married,secondary,1191.0,no,no,21,may,214,4,-1,0,yes
741,28,single,secondary,1633.0,no,no,5,jun,275,1,-1,0,yes
2510,53,divorced,secondary,-200.0,no,yes,6,jun,161,1,-1,0,no
4192,29,single,secondary,584.0,yes,no,16,jun,541,19,-1,0,no
1206,61,married,tertiary,6016.0,no,no,2,feb,670,3,-1,0,yes
509,30,single,secondary,315.0,no,no,23,jun,1407,1,-1,0,yes
2164,38,married,secondary,497.0,yes,yes,19,may,88,5,-1,0,no
2312,34,married,secondary,50.0,yes,no,20,may,89,2,-1,0,no
3965,58,married,primary,5092.0,no,no,11,jun,199,6,-1,0,no
2686,31,married,secondary,0.0,no,yes,15,jul,275,2,-1,0,no
2044,44,married,tertiary,529.0,yes,no,4,jun,129,4,-1,0,no
767,42,single,secondary,1022.0,yes,no,5,may,146,2,-1,0,no
4408,28,married,secondary,131.0,yes,no,12,may,147,5,-1,0,no
3137,42,married,secondary,3068.0,yes,yes,11,may,429,2,-1,0,no
421,37,married,tertiary,502.0,yes,no,7,may,551,1,351,1,no
123,36,married,secondary,-231.0,no,yes,15,jul,779,2,-1,0,no
3454,59,divorced,secondary,174.0,yes,no,16,may,204,1,-1,0,no
2172,31,single,primary,-495.0,yes,no,29,may,334,2,-1,0,no
819,27,married,secondary,58.0,yes,no,7,may,113,1,337,2,no
1403,29,married,secondary,912.0,yes,no,13,may,785,1,-1,0,no
1382,24,married,secondary,299.0,yes,no,6,may,209,1,321,1,no
2148,62,married,tertiary,1859.0,no,no,6,aug,245,3,-1,0,yes
1575,34,single,primary,464.0,yes,no,18,may,173,1,299,2,no
1638,39,single,tertiary,426.0,no,no,18,jun,1029,1,-1,0,yes
1795,35,single,secondary,2830.0,no,no,20,jun,22,12,-1,0,no
4358,47,single,secondary,2540.0,no,no,18,nov,110,5,-1,0,no
399,39,married,primary,7685.0,yes,no,14,apr,493,3,-1,0,no
3684,30,single,tertiary,305.0,no,no,30,apr,633,1,85,2,yes
3999,44,married,secondary,27.0,no,no,25,may,485,1,-1,0,no
4182,50,married,secondary,579.0,no,no,26,aug,83,4,-1,0,no
1352,23,single,secondary,1021.0,no,no,19,jun,79,9,-1,0,no
2269,27,single,secondary,0.0,yes,no,7,may,388,7,-1,0,no
4118,32,married,tertiary,189.0,yes,no,6,jun,106,2,-1,0,no
2130,31,single,primary,864.0,yes,no,14,may,113,2,-1,0,no
982,54,married,secondary,1291.0,yes,no,5,may,266,1,-1,0,no
456,34,single,tertiary,5462.0,no,no,30,apr,430,1,-1,0,yes
4504,42,single,secondary,1080.0,yes,yes,13,may,951,3,370,4,yes
3715,51,married,secondary,2967.0,no,no,17,jun,83,2,-1,0,no
1950,50,married,primary,1260.0,no,no,18,nov,172,1,-1,0,no
3702,48,married,secondary,1738.0,yes,no,15,apr,349,1,-1,0,no
3549,47,married,primary,292.0,no,yes,28,jul,210,3,-1,0,no
641,56,married,unknown,0.0,no,no,20,jun,471,2,-1,0,no
1953,36,single,tertiary,980.0,no,no,11,nov,118,4,104,7,no
2274,35,single,secondary,0.0,yes,no,13,may,1073,1,-1,0,yes
2879,61,married,primary,848.0,no,no,27,apr,605,1,187,1,no
4314,31,single,secondary,1626.0,no,no,7,may,356,2,286,3,no
2827,49,married,secondary,320.0,no,no,9,feb,1971,4,-1,0,yes
1884,39,married,secondary,-735.0,yes,no,30,jan,144,5,248,2,no
4149,49,married,tertiary,92.0,yes,no,6,may,221,2,-1,0,no
2564,50,divorced,secondary,-701.0,yes,yes,24,jul,148,1,-1,0,no
2515,31,married,secondary,212.0,yes,no,18,jul,191,3,-1,0,no
845,43,married,secondary,-932.0,yes,no,16,apr,567,1,-1,0,no
542,27,married,secondary,0.0,yes,no,23,jul,198,13,-1,0,no
91,34,married,primary,455.0,yes,no,20,jun,372,3,-1,0,no
3187,63,married,secondary,474.0,no,no,25,jan,423,1,-1,0,yes
1979,31,single,secondary,-186.0,yes,no,26,may,172,3,-1,0,no
2319,44,married,secondary,-665.0,no,no,30,jul,342,3,-1,0,no
3346,55,married,secondary,865.0,yes,no,27,oct,96,1,111,3,no
2389,53,married,tertiary,6072.0,no,yes,16,jun,226,4,-1,0,no
4246,32,single,secondary,0.0,yes,no,31,jul,99,13,-1,0,no
1048,34,married,secondary,1337.0,no,no,17,dec,330,2,127,3,yes
1960,40,married,primary,98.0,yes,no,2,jun,193,5,-1,0,no
237,57,married,unknown,206.0,yes,no,5,may,216,3,-1,0,no
3466,41,divorced,secondary,1088.0,yes,no,28,jan,138,1,-1,0,no
1133,26,single,secondary,127.0,yes,yes,23,jul,85,3,-1,0,no
1805,70,married,tertiary,15834.0,no,no,5,apr,172,3,186,1,no
3613,49,married,secondary,2718.0,no,no,19,may,114,2,-1,0,no
163,43,married,secondary,978.0,yes,yes,26,may,82,2,-1,0,no
3417,55,divorced,tertiary,1983.0,yes,no,19,nov,123,1,-1,0,no
3919,44,married,tertiary,460.0,no,no,17,jun,491,1,-1,0,no
2837,43,married,secondary,699.0,yes,yes,20,nov,1258,2,122,2,yes
2631,37,single,secondary,-296.0,yes,no,20,apr,81,1,-1,0,no
2988,38,single,secondary,2543.0,no,no,10,aug,223,1,414,4,yes
3229,41,married,primary,5310.0,yes,no,17,nov,984,1,-1,0,yes
1811,44,single,secondary,-101.0,yes,no,10,jul,99,1,-1,0,no
4312,30,single,secondary,20.0,yes,no,20,apr,404,6,340,1,no
3735,43,married,tertiary,58.0,yes,no,9,feb,48,4,-1,0,no
2970,35,single,tertiary,252.0,yes,no,8,aug,89,2,-1,0,no
2309,33,married,tertiary,2098.0,no,no,20,nov,67,1,-1,0,no
2788,35,married,secondary,0.0,no,yes,9,jul,42,1,-1,0,no
3989,31,single,tertiary,462.0,yes,yes,19,may,147,1,-1,0,no
4210,51,divorced,secondary,78.0,yes,no,27,may,723,2,-1,0,no
3619,47,married,primary,145.0,yes,no,7,may,157,6,-1,0,no
1452,55,married,secondary,955.0,yes,no,29,jan,104,1,-1,0,no
593,31,married,secondary,660.0,no,no,22,jun,115,1,-1,0,no
41,36,single,tertiary,553.0,no,no,11,aug,106,2,-1,0,no
560,34,married,secondary,1464.0,yes,no,23,may,350,1,-1,0,no
